user_id,GB_12,loan_amount,PP_Average_Current_DBT,PP_Avg_Curr_Cmpny_DBT_Ind_DBT,PP_Worst_Comp_DBT_Ind_DBT_In_Lst_12M,Avg_No_Of_DBT_0_1000,DBT_most_recent_month,Num_unpaid_accts_in_past_year,Num_Of_Prev_Searches_last_3M,Num_Of_Prev_Searches_last_6M,Num_Of_Prev_Searches_last_12M,Num_Of_Meeting_Of_Creditors,Tot_Fixed_Assets_As_Pct_Of_Tot_Assets,Curr_Liab_As_Pct_Of_Tot_Assets,Capital_Employed_As_Pct_Of_Tot_Assets,Equity_Gearing,G3_Dir_Consent_FullCAIS_ConsCommDelphi_score,submit_profit_after_tax1,calc_profit_after_tax1,submit_profit_after_tax2,calc_profit_after_tax2,Score_1_SCORE,Num_of_active_SHARE_recs,Num_of_all_SHARE_accts,Num_of_active_SHARE_accts,Total_value_of_active_accts,payment_status_less_2_3M,payment_status_less_2_12M,payment_status_less_2_24M,payment_status_less_1_3M,payment_status_less_1_12M,payment_status_less_1_24M,payment_status_0_3M,payment_status_0_12M,payment_status_0_24M,Total_value_accts_in_sector2,Total_bals_active_accts,Total_limits_rev_acct_active,Mthly_rpymt_actv_fxd_term_accts,Value_actv_fxd_term_accts,Num_pymt_status_3plus_48_updates,curr_bal_to_Annual_Income,Curr_bal_rev_crd_to_curr_limits,bal_rev_crd_to_curr_limits_3M,bal_rev_crd_to_curr_limits_6M,Num_Rev_Acct_util_ge75,Unemployment_Among_25_39,Avg_num_of_Court_Judgments,Credit_Card_Repayment_Amt,Num_Cash_Advances_3M
7005,0,100000,0,-26,-24,0,0,0,3,3,6,0,11.6,48.9,51.1,51.1,95,138071,138071,82968,82968,670,9,14,9,57628,8,8,8,8,8,8,7,7,6,35465,57628,28800,22176,56808,0,29,2,6,4,0,7.91139,0,469,0
8519,0,50000,0,-19,-9,0,0,0,1,1,8,0,5.7,73.7,26.3,24.8,91,68271.4,68271.4,89373,89373,553,15,24,15,826610,15,15,15,14,14,13,14,13,12,749222,826610,59850,3310,762290,0,103,106,125,127,5,0,0.09,3333,0
9510,0,75000,0,-26,3,0,0,0,7,9,22,0,63.6,43.4,56.6,40.4,85,-3009,-3009,2482,2482,501,6,9,6,246563,3,3,3,3,3,1,3,3,1,219488,246563,18050,1393,219488,1,36,150,152,142,3,6.00962,0.11,1210,0
10144,0,90000,0,-21,-19,0,0,0,18,31,49,0,76.1,45,55,28.3,52,686940.95,686940.95,401632.68,401632.68,567,7,14,7,49014,7,7,7,7,7,7,7,6,4,NA,49014,15700,399,11648,0,49,238,126,119,1,33.55705,0.05,466,0
11112,0,20000,0,-26,-26,0,0,0,3,3,3,0,58.5,66.8,33.2,12.3,88,26529,26529,23206,23206,598,7,14,7,216768,7,7,7,7,7,7,7,7,7,163483,216768,37600,1689,188846,0,71,74,76,38,3,9.67118,0.03,894,0
11272,0,100000,0,-16,-16,0,0,0,4,7,9,0,0.7,46.2,53.8,53.6,96,-659108,-659108,41377,41377,641,6,9,6,41032,6,6,6,6,6,6,6,6,6,26023,41032,6900,1258,41032,0,12,0,0,0,0,7.93651,0.03,0,0
11371,0,55000,28,3,25,28,28,0,9,23,29,0,20.1,69.7,30.3,26.1,70,54153,54153,91489,91489,602,17,33,17,1094703,17,17,17,16,15,13,16,15,12,1079357,1094703,9200,2733,1091589,0,20,26,36,39,0,9.95025,0.2,802,0
11378,0,75000,0,-25,-25,0,0,0,4,5,6,0,3.9,26.5,73.5,72.8,89,23651,23651,47680,47680,654,12,12,12,142066,12,12,12,12,12,12,12,12,12,117973,142066,122480,1195,117973,0,48,19,13,11,0,0,0.1,4290,4
11820,0,65000,17,-8,24,NA,17,0,2,5,16,0,15.2,82.2,17.8,17.8,86,16758,16758,37410,37410,552,13,26,13,298462,13,13,13,12,12,12,9,9,9,266004,298462,54950,510,266004,1,43,59,59,63,2,9.94036,0.05,841,0
11947,0,30000,NA,NA,NA,NA,NA,NA,2,3,8,0,71.8,97.3,2.7,2.7,84,7078,7078,28800,28800,565,14,21,14,847553,14,14,14,14,14,13,12,12,10,815617,847553,26220,3620,820878,1,31,96,73,93,4,8.05153,0.17,641,0
