obs,buy_depvar,date,income,is_female,is_married,has_college,is_pro,is_retired,unemployed,residence_length,dual_income,minors,own,house,white,english,prev_child_mag,prev_parent_mag
1,0,1/1/2020,24000,1,0,1,1,0,0,26,0,0,0,1,0,0,0,0
2,1,1/1/2020,75000,1,1,1,1,0,0,15,1,0,1,1,1,1,1,0
3,0,1/1/2020,46000,1,1,0,0,0,0,36,1,1,1,1,1,1,0,0
4,1,1/1/2020,70000,0,1,0,1,0,0,55,0,0,1,1,1,1,1,0
5,0,1/1/2020,43000,1,0,0,0,0,0,27,0,0,0,0,1,1,0,1
6,0,1/1/2020,24000,1,1,0,0,0,0,41,0,0,1,1,0,0,0,0
7,0,1/1/2020,26000,1,1,1,0,1,0,20,0,1,1,1,1,1,0,0
8,0,1/1/2020,38000,1,1,0,0,1,0,8,0,0,1,1,1,1,0,0
9,0,1/1/2020,39000,1,0,1,1,0,0,17,0,0,0,0,1,1,0,0
10,0,1/1/2020,49000,0,1,0,0,1,0,31,0,0,1,1,1,1,0,0
11,1,1/1/2020,75000,1,0,1,0,0,0,13,1,0,0,0,1,1,0,1
12,0,1/1/2020,31000,1,0,1,0,1,0,51,0,0,0,0,1,1,0,0
13,0,1/1/2020,10000,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0
14,0,1/1/2020,22000,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
15,0,1/1/2020,39000,0,1,0,0,0,0,24,0,0,1,1,0,0,0,0
16,0,1/1/2020,2000,0,1,0,0,0,1,52,1,1,0,1,0,1,0,0
17,1,1/1/2020,75000,0,0,0,0,0,0,9,0,0,0,1,1,1,1,0
18,1,1/1/2020,69000,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
19,1,1/1/2020,60000,1,1,0,1,0,0,6,1,0,0,0,1,1,1,1
20,0,1/1/2020,12000,1,0,0,0,0,0,22,0,0,0,0,1,1,0,0
21,0,1/1/2020,42000,1,1,0,0,0,0,46,1,0,1,1,1,1,0,1
22,0,1/1/2020,4000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
23,0,1/1/2020,75000,0,0,0,0,0,0,12,0,1,0,1,1,1,0,0
24,1,1/1/2020,45000,1,1,1,0,0,0,20,1,1,1,1,1,1,0,1
25,0,1/1/2020,21000,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0
26,1,1/1/2020,75000,1,0,1,1,0,0,16,0,0,1,1,0,1,0,0
27,0,1/1/2020,23000,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0
28,0,1/1/2020,38000,0,0,0,0,1,0,33,0,0,1,1,1,1,0,0
29,0,1/1/2020,12000,1,0,0,0,0,0,5,0,0,0,0,1,1,0,0
30,0,1/1/2020,46000,1,1,0,0,0,0,16,0,0,1,1,1,1,1,0
31,0,1/1/2020,50000,1,1,0,1,0,0,7,1,1,1,1,0,1,0,1
32,0,1/1/2020,46000,0,0,0,0,0,0,17,0,1,0,1,1,1,0,0
33,1,1/1/2020,75000,0,1,0,1,0,0,36,1,0,1,1,1,1,0,1
34,0,1/1/2020,4000,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0
35,0,1/1/2020,33000,1,1,0,0,0,0,43,0,0,0,1,0,1,1,0
36,0,1/1/2020,26000,0,0,0,0,0,0,33,0,0,0,0,1,1,0,0
37,1,1/1/2020,75000,0,0,0,1,0,0,12,1,0,1,1,1,1,0,0
38,0,1/1/2020,33000,1,1,1,1,0,0,15,0,0,1,1,1,1,0,0
39,0,1/1/2020,4000,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
40,0,1/1/2020,49000,0,1,0,0,0,0,10,1,1,1,1,1,1,0,0
41,0,1/1/2020,21000,1,1,0,0,0,0,20,1,1,0,0,0,1,0,0
42,0,1/1/2020,20000,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
43,0,1/1/2020,15000,0,1,0,0,0,0,3,1,0,0,0,1,1,0,0
44,0,1/1/2020,25000,0,0,0,1,0,0,23,0,0,0,0,0,1,0,0
45,0,1/1/2020,40000,0,1,1,0,1,0,13,0,0,1,1,1,1,0,0
46,1,1/1/2020,75000,1,1,1,1,0,0,12,1,0,1,1,1,1,0,0
47,0,1/1/2020,33000,1,1,0,0,0,0,20,1,0,1,1,0,1,0,0
48,0,1/1/2020,10000,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
49,0,1/1/2020,20000,1,0,0,0,0,0,29,0,0,0,0,0,1,0,0
50,0,1/1/2020,2000,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0
51,0,1/1/2020,43000,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
52,0,1/1/2020,11000,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
53,0,1/1/2020,18000,0,0,0,0,0,0,24,0,0,0,0,1,1,0,0
54,0,1/1/2020,7000,1,0,0,0,0,0,10,0,1,0,1,1,1,0,0
55,1,1/1/2020,75000,1,1,0,1,0,0,18,0,1,1,1,1,1,0,0
56,0,1/1/2020,2000,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0
57,0,1/1/2020,7000,1,0,0,0,0,0,13,0,1,0,1,1,1,0,0
58,0,1/1/2020,0,1,0,0,0,0,0,32,0,1,0,1,0,1,0,0
59,1,1/1/2020,47000,1,1,1,1,0,0,7,1,1,1,1,1,1,0,0
60,0,1/1/2020,20000,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0
61,1,1/1/2020,75000,1,1,0,0,0,0,9,1,0,1,1,1,1,0,0
62,1,1/1/2020,61000,1,1,1,1,0,0,51,1,0,1,1,0,1,0,0
63,0,1/1/2020,30000,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0
64,0,1/1/2020,6000,1,0,0,0,0,0,18,0,1,1,1,1,1,0,0
65,0,1/1/2020,22000,0,0,0,1,0,0,24,0,0,0,1,0,1,0,0
66,0,1/1/2020,39000,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
67,0,1/1/2020,26000,1,0,0,0,0,0,24,0,0,0,0,1,1,0,1
68,0,1/1/2020,22000,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
69,0,1/1/2020,46000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
70,0,1/1/2020,39000,1,1,1,0,0,0,45,1,1,1,1,0,1,0,0
71,0,1/1/2020,49000,0,0,0,0,0,0,18,0,0,0,1,1,1,1,0
72,0,1/1/2020,5000,1,1,0,0,0,0,18,0,1,0,1,0,1,0,0
73,0,1/1/2020,9000,0,0,1,0,0,0,13,0,0,0,0,0,1,0,0
74,0,1/1/2020,75000,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0
75,0,1/1/2020,9000,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0
76,0,1/1/2020,43000,1,0,0,1,0,0,25,0,0,0,1,1,1,0,1
77,0,1/1/2020,30000,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
78,0,1/1/2020,13000,0,0,0,0,0,0,20,0,0,0,0,1,1,0,0
79,0,1/1/2020,3000,1,0,0,0,0,1,9,0,1,0,1,0,0,0,0
80,0,1/1/2020,28000,0,0,0,0,0,0,26,0,0,0,1,0,1,0,0
81,0,1/1/2020,44000,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0
82,1,1/1/2020,69000,1,1,1,1,0,0,26,1,0,0,0,1,1,0,0
83,0,1/1/2020,3000,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
84,0,1/1/2020,7000,0,0,0,0,0,0,16,0,1,0,1,0,1,0,0
85,0,1/1/2020,32000,0,1,0,1,0,0,14,1,0,1,1,1,1,0,0
86,0,1/1/2020,21000,0,0,0,0,0,0,33,0,0,0,0,1,1,0,0
87,1,1/1/2020,75000,1,1,0,0,0,0,60,0,0,1,0,1,1,0,0
88,0,1/1/2020,19000,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
