age,date,workclass,education,educational_num,marital_status,race,gender,hours_per_week,income_depvar
25,01/01/10,Private,11th,7,Never-married,Black,Male,40,0
38,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,50,0
28,01/01/10,Local-gov,Assoc-acdm,12,Married-civ-spouse,White,Male,40,1
44,01/01/10,Private,Some-college,10,Married-civ-spouse,Black,Male,40,1
18,01/01/10,?,Some-college,10,Never-married,White,Female,30,0
34,01/01/10,Private,10th,6,Never-married,White,Male,30,0
29,01/01/10,?,HS-grad,9,Never-married,Black,Male,40,0
63,01/01/10,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,White,Male,32,1
24,01/01/10,Private,Some-college,10,Never-married,White,Female,40,0
55,01/01/10,Private,7th-8th,4,Married-civ-spouse,White,Male,10,0
65,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
36,01/01/10,Federal-gov,Bachelors,13,Married-civ-spouse,White,Male,40,0
26,01/01/10,Private,HS-grad,9,Never-married,White,Female,39,0
58,01/01/10,?,HS-grad,9,Married-civ-spouse,White,Male,35,0
48,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,48,1
43,01/01/10,Private,Masters,14,Married-civ-spouse,White,Male,50,1
20,01/01/10,State-gov,Some-college,10,Never-married,White,Male,25,0
43,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Female,30,0
37,01/01/10,Private,HS-grad,9,Widowed,White,Female,20,0
40,01/01/10,Private,Doctorate,16,Married-civ-spouse,Asian-Pac-Islander,Male,45,1
34,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Male,47,1
34,01/01/10,Private,Some-college,10,Never-married,Black,Female,35,0
72,01/01/10,?,7th-8th,4,Divorced,White,Female,6,0
25,01/01/10,Private,Bachelors,13,Never-married,White,Male,43,0
25,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Male,40,0
45,01/01/10,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,90,1
22,01/01/10,Private,HS-grad,9,Never-married,White,Male,20,0
23,01/01/10,Private,HS-grad,9,Separated,Black,Male,54,0
54,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,35,0
32,01/01/10,Self-emp-not-inc,Some-college,10,Never-married,White,Male,60,0
46,01/01/10,State-gov,Some-college,10,Married-civ-spouse,Black,Male,38,1
56,01/01/10,Self-emp-not-inc,11th,7,Widowed,White,Female,50,0
24,01/01/10,Self-emp-not-inc,Bachelors,13,Never-married,White,Male,50,0
23,01/01/10,Local-gov,Some-college,10,Married-civ-spouse,White,Male,40,0
26,01/01/10,Private,HS-grad,9,Divorced,White,Female,40,0
65,01/01/10,?,HS-grad,9,Married-civ-spouse,White,Male,40,0
